Iteration	Y	var_1	var_2
1.0	-17.184605975893223	0.0	0.0
2.0	-16.09186246882693	-0.7339681124106686	38.493307264633344
3.0	-17.349115801160206	11.649816404803623	12.795475226841422
4.0	-13.81827632168316	50.0	50.0
5.0	-13.013832248417497	-50.0	50.0
6.0	-11.85192813171362	50.0	-50.0
7.0	-11.31733661356737	-50.0	-50.0
8.0	-16.648976361229337	25.0	25.0
9.0	-15.826433838757445	-25.0	25.0
10.0	-14.851264811702226	25.0	-25.0
11.0	-14.310856056043477	-25.0	-25.0
12.0	-17.339399420284625	12.015588675412863	13.51073121150517
13.0	-17.386659591395503	4.452897298225913	10.910490957769372
14.0	-11.086084868153298	100.0	2.849704264200995
15.0	-10.132004742763886	-99.04000964280105	0.09226655340687259
16.0	-7.331935123222087	97.82123062248516	-99.90514686480441
17.0	-8.957437448402368	97.76040816838115	97.32201250705293
18.0	-8.38439027422266	-96.0001302893042	99.95113573542409
19.0	-7.065062833901729	-99.19886729933324	-96.9351529156696
20.0	-17.35089188156397	5.925771842594131	5.709821950735815
21.0	-11.280378439479115	10.189335015545282	97.80437250350755
22.0	-9.222299560084409	-13.729824596806026	-98.43512357080657
23.0	-16.41368686121277	34.991298744865276	7.64527651667602
24.0	-17.33411935573759	5.068995273151472	15.817793150696886
25.0	-17.353843835537997	1.5466920016951775	9.347053845660753
26.0	-10.619452193730591	-33.41816659445571	99.95187319113597
